,Present_Price,Kms_Driven,Owner,Years_Old,Fuel_Type_Diesel,Fuel_Type_Petrol,Seller_Type_Individual,Transmission_Manual,Selling_Price
222,7.6,77632,0,8,1.0,0.0,0.0,1.0,6.0
283,11.8,9010,0,6,0.0,1.0,0.0,1.0,8.99
44,2.69,50000,0,10,0.0,1.0,0.0,1.0,1.25
245,9.4,71000,0,10,1.0,0.0,0.0,1.0,5.2
191,0.57,25000,1,10,0.0,1.0,1.0,1.0,0.2
154,0.88,8000,0,8,0.0,1.0,1.0,1.0,0.5
160,0.95,24000,0,11,0.0,1.0,1.0,1.0,0.45
103,1.6,1200,0,5,0.0,1.0,1.0,1.0,1.45
54,10.21,90000,0,17,0.0,1.0,1.0,1.0,2.75
229,6.79,52132,0,10,1.0,0.0,0.0,1.0,3.1
18,5.09,35500,0,7,0.0,0.0,0.0,1.0,3.25
167,0.81,42000,0,8,0.0,1.0,1.0,1.0,0.42
252,6.82,31427,0,7,0.0,1.0,0.0,0.0,5.4
124,1.75,11500,0,10,0.0,1.0,1.0,1.0,0.95
126,0.95,1300,0,5,0.0,1.0,1.0,1.0,0.9
71,12.48,45000,0,11,1.0,0.0,0.0,1.0,4.5
255,5.35,53675,0,10,0.0,1.0,0.0,1.0,3.0
247,9.4,36000,0,7,0.0,1.0,0.0,1.0,5.95
210,4.6,35775,0,10,0.0,1.0,0.0,1.0,3.1
289,13.6,10980,0,6,0.0,1.0,0.0,1.0,10.11
217,4.43,15000,0,6,0.0,1.0,0.0,1.0,3.15
156,0.52,15000,0,5,0.0,1.0,1.0,1.0,0.48
161,0.826,23000,0,8,0.0,1.0,1.0,1.0,0.45
33,9.95,45000,0,8,1.0,0.0,0.0,1.0,6.0
83,13.46,38000,0,7,1.0,0.0,0.0,1.0,12.5
134,0.81,11800,0,5,0.0,1.0,1.0,1.0,0.65
208,8.1,3435,0,5,0.0,1.0,0.0,1.0,7.9
60,18.61,40001,0,9,0.0,1.0,0.0,1.0,6.95
157,0.84,23000,0,7,0.0,1.0,1.0,1.0,0.48
281,7.6,50456,0,16,0.0,1.0,0.0,1.0,2.1
110,1.78,6000,0,6,0.0,1.0,1.0,1.0,1.2
21,5.71,2400,0,5,0.0,1.0,0.0,1.0,4.9
29,10.38,45000,0,7,1.0,0.0,0.0,1.0,7.45
171,0.55,6700,0,7,0.0,1.0,1.0,1.0,0.4
16,10.79,41678,0,7,1.0,0.0,0.0,1.0,7.25
56,7.27,40534,0,7,0.0,1.0,0.0,1.0,4.5
75,6.8,36000,0,7,0.0,1.0,0.0,1.0,3.95
109,1.47,11000,0,5,0.0,1.0,1.0,1.0,1.2
274,6.8,16500,0,8,0.0,1.0,0.0,1.0,5.3
236,4.43,11849,0,6,0.0,1.0,0.0,1.0,3.1
4,6.87,42450,0,8,1.0,0.0,0.0,1.0,4.6
96,25.39,29000,0,6,1.0,0.0,0.0,0.0,20.75
168,0.73,12000,0,9,0.0,1.0,1.0,1.0,0.42
61,7.7,40588,0,7,0.0,1.0,0.0,1.0,4.5
67,20.45,59000,0,12,1.0,0.0,0.0,1.0,9.25
139,0.95,16600,0,7,0.0,1.0,1.0,1.0,0.6
200,0.75,92233,0,16,0.0,1.0,1.0,1.0,0.1
153,0.99,45000,0,9,0.0,1.0,1.0,1.0,0.5
280,5.9,14465,0,7,0.0,1.0,0.0,1.0,5.25
40,7.87,24524,0,6,0.0,1.0,0.0,0.0,5.85
187,0.51,32000,0,9,0.0,1.0,1.0,1.0,0.25
13,7.71,26000,0,7,0.0,1.0,0.0,1.0,6.1
107,1.5,15000,0,9,0.0,1.0,1.0,1.0,1.25
198,0.57,35000,1,11,0.0,1.0,1.0,1.0,0.15
3,4.15,5200,0,11,0.0,1.0,0.0,1.0,2.85
159,0.51,4000,0,5,0.0,1.0,1.0,0.0,0.45
125,1.75,40000,0,13,0.0,1.0,1.0,1.0,0.9
24,4.41,56879,0,9,0.0,1.0,0.0,1.0,2.9
30,5.98,51439,0,10,1.0,0.0,0.0,1.0,3.1
77,12.35,135154,0,18,0.0,1.0,0.0,0.0,1.5
278,8.4,4000,0,6,0.0,1.0,0.0,1.0,6.0
188,0.57,18000,0,9,0.0,1.0,1.0,1.0,0.25
19,7.98,41442,0,12,0.0,1.0,0.0,1.0,2.65
256,13.6,49562,0,6,0.0,1.0,0.0,1.0,10.25
233,5.7,53000,0,9,1.0,0.0,0.0,1.0,3.9
267,9.4,19434,0,6,1.0,0.0,0.0,1.0,8.35
80,14.89,23000,0,6,1.0,0.0,0.0,1.0,14.73
51,30.61,40000,0,7,1.0,0.0,0.0,0.0,23.0
2,9.85,6900,0,5,0.0,1.0,0.0,1.0,7.25
237,13.6,68000,0,7,1.0,0.0,0.0,1.0,11.25
104,1.47,4100,0,5,0.0,1.0,1.0,1.0,1.35
181,0.48,50000,0,6,0.0,1.0,1.0,1.0,0.3
86,92.6,78000,0,12,1.0,0.0,0.0,1.0,35.0
10,3.6,2135,0,5,0.0,1.0,0.0,1.0,2.85
